category,value,observation_type,month,date
47.64 sports shops,98.5,Constant prices,2020M04,2020-04-01
47.71 clothing stores,69.1,Constant prices,2020M04,2020-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",80.1,Constant prices,2020M04,2020-04-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M05,2020-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.2,Constant prices,2020M05,2020-05-01
47.64 sports shops,114.2,Constant prices,2020M05,2020-05-01
47.71 clothing stores,84.4,Constant prices,2020M05,2020-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",82.6,Constant prices,2020M05,2020-05-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M06,2020-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.7,Constant prices,2020M06,2020-06-01
47.64 sports shops,122.3,Constant prices,2020M06,2020-06-01
47.71 clothing stores,105.4,Constant prices,2020M06,2020-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",84.7,Constant prices,2020M06,2020-06-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M07,2020-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,104.0,Constant prices,2020M07,2020-07-01
47.64 sports shops,124.3,Constant prices,2020M07,2020-07-01
47.71 clothing stores,102.0,Constant prices,2020M07,2020-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",82.5,Constant prices,2020M07,2020-07-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M08,2020-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.4,Constant prices,2020M08,2020-08-01
47.64 sports shops,100.1,Constant prices,2020M08,2020-08-01
47.71 clothing stores,98.2,Constant prices,2020M08,2020-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",80.7,Constant prices,2020M08,2020-08-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M09,2020-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,101.4,Constant prices,2020M09,2020-09-01
