category,value,observation_type,month,date
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.6,"Seasonally adjusted, working day adjusted, constant prices",2019M11,2019-11-01
47.64 sports shops,83.4,"Seasonally adjusted, working day adjusted, constant prices",2019M11,2019-11-01
47.71 clothing stores,108.9,"Seasonally adjusted, working day adjusted, constant prices",2019M11,2019-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.7,"Seasonally adjusted, working day adjusted, constant prices",2019M11,2019-11-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2019M12,2019-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,99.6,"Seasonally adjusted, working day adjusted, constant prices",2019M12,2019-12-01
47.64 sports shops,89.1,"Seasonally adjusted, working day adjusted, constant prices",2019M12,2019-12-01
47.71 clothing stores,115.9,"Seasonally adjusted, working day adjusted, constant prices",2019M12,2019-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",100.0,"Seasonally adjusted, working day adjusted, constant prices",2019M12,2019-12-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M01,2020-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,99.5,"Seasonally adjusted, working day adjusted, constant prices",2020M01,2020-01-01
47.64 sports shops,89.5,"Seasonally adjusted, working day adjusted, constant prices",2020M01,2020-01-01
47.71 clothing stores,119.6,"Seasonally adjusted, working day adjusted, constant prices",2020M01,2020-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",93.0,"Seasonally adjusted, working day adjusted, constant prices",2020M01,2020-01-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M02,2020-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,102.9,"Seasonally adjusted, working day adjusted, constant prices",2020M02,2020-02-01
47.64 sports shops,97.7,"Seasonally adjusted, working day adjusted, constant prices",2020M02,2020-02-01
47.71 clothing stores,115.6,"Seasonally adjusted, working day adjusted, constant prices",2020M02,2020-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",98.7,"Seasonally adjusted, working day adjusted, constant prices",2020M02,2020-02-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M03,2020-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,90.2,"Seasonally adjusted, working day adjusted, constant prices",2020M03,2020-03-01
47.64 sports shops,86.6,"Seasonally adjusted, working day adjusted, constant prices",2020M03,2020-03-01
47.71 clothing stores,77.8,"Seasonally adjusted, working day adjusted, constant prices",2020M03,2020-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",82.7,"Seasonally adjusted, working day adjusted, constant prices",2020M03,2020-03-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M04,2020-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.1,"Seasonally adjusted, working day adjusted, constant prices",2020M04,2020-04-01
47.64 sports shops,93.5,"Seasonally adjusted, working day adjusted, constant prices",2020M04,2020-04-01
47.71 clothing stores,75.8,"Seasonally adjusted, working day adjusted, constant prices",2020M04,2020-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",86.9,"Seasonally adjusted, working day adjusted, constant prices",2020M04,2020-04-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M05,2020-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.1,"Seasonally adjusted, working day adjusted, constant prices",2020M05,2020-05-01
47.64 sports shops,97.8,"Seasonally adjusted, working day adjusted, constant prices",2020M05,2020-05-01
47.71 clothing stores,77.2,"Seasonally adjusted, working day adjusted, constant prices",2020M05,2020-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",87.8,"Seasonally adjusted, working day adjusted, constant prices",2020M05,2020-05-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M06,2020-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,102.5,"Seasonally adjusted, working day adjusted, constant prices",2020M06,2020-06-01
47.64 sports shops,105.6,"Seasonally adjusted, working day adjusted, constant prices",2020M06,2020-06-01
47.71 clothing stores,91.1,"Seasonally adjusted, working day adjusted, constant prices",2020M06,2020-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",90.6,"Seasonally adjusted, working day adjusted, constant prices",2020M06,2020-06-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M07,2020-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,101.1,"Seasonally adjusted, working day adjusted, constant prices",2020M07,2020-07-01
47.64 sports shops,99.6,"Seasonally adjusted, working day adjusted, constant prices",2020M07,2020-07-01
47.71 clothing stores,92.8,"Seasonally adjusted, working day adjusted, constant prices",2020M07,2020-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.6,"Seasonally adjusted, working day adjusted, constant prices",2020M07,2020-07-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M08,2020-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,89.5,"Seasonally adjusted, working day adjusted, constant prices",2020M08,2020-08-01
47.64 sports shops,95.1,"Seasonally adjusted, working day adjusted, constant prices",2020M08,2020-08-01
47.71 clothing stores,94.2,"Seasonally adjusted, working day adjusted, constant prices",2020M08,2020-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.5,"Seasonally adjusted, working day adjusted, constant prices",2020M08,2020-08-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M09,2020-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,101.0,"Seasonally adjusted, working day adjusted, constant prices",2020M09,2020-09-01
47.64 sports shops,96.1,"Seasonally adjusted, working day adjusted, constant prices",2020M09,2020-09-01
47.71 clothing stores,101.8,"Seasonally adjusted, working day adjusted, constant prices",2020M09,2020-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",93.3,"Seasonally adjusted, working day adjusted, constant prices",2020M09,2020-09-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M10,2020-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,101.1,"Seasonally adjusted, working day adjusted, constant prices",2020M10,2020-10-01
47.64 sports shops,96.6,"Seasonally adjusted, working day adjusted, constant prices",2020M10,2020-10-01
47.71 clothing stores,98.8,"Seasonally adjusted, working day adjusted, constant prices",2020M10,2020-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.4,"Seasonally adjusted, working day adjusted, constant prices",2020M10,2020-10-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M11,2020-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.0,"Seasonally adjusted, working day adjusted, constant prices",2020M11,2020-11-01
47.64 sports shops,90.3,"Seasonally adjusted, working day adjusted, constant prices",2020M11,2020-11-01
47.71 clothing stores,81.1,"Seasonally adjusted, working day adjusted, constant prices",2020M11,2020-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.6,"Seasonally adjusted, working day adjusted, constant prices",2020M11,2020-11-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2020M12,2020-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,97.7,"Seasonally adjusted, working day adjusted, constant prices",2020M12,2020-12-01
47.64 sports shops,84.4,"Seasonally adjusted, working day adjusted, constant prices",2020M12,2020-12-01
47.71 clothing stores,82.7,"Seasonally adjusted, working day adjusted, constant prices",2020M12,2020-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",84.6,"Seasonally adjusted, working day adjusted, constant prices",2020M12,2020-12-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2021M01,2021-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.1,"Seasonally adjusted, working day adjusted, constant prices",2021M01,2021-01-01
47.64 sports shops,113.1,"Seasonally adjusted, working day adjusted, constant prices",2021M01,2021-01-01
47.71 clothing stores,85.7,"Seasonally adjusted, working day adjusted, constant prices",2021M01,2021-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",88.4,"Seasonally adjusted, working day adjusted, constant prices",2021M01,2021-01-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2021M02,2021-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,103.9,"Seasonally adjusted, working day adjusted, constant prices",2021M02,2021-02-01
47.64 sports shops,105.8,"Seasonally adjusted, working day adjusted, constant prices",2021M02,2021-02-01
47.71 clothing stores,91.5,"Seasonally adjusted, working day adjusted, constant prices",2021M02,2021-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",100.1,"Seasonally adjusted, working day adjusted, constant prices",2021M02,2021-02-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2021M03,2021-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,105.2,"Seasonally adjusted, working day adjusted, constant prices",2021M03,2021-03-01
47.64 sports shops,103.3,"Seasonally adjusted, working day adjusted, constant prices",2021M03,2021-03-01
47.71 clothing stores,93.0,"Seasonally adjusted, working day adjusted, constant prices",2021M03,2021-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.0,"Seasonally adjusted, working day adjusted, constant prices",2021M03,2021-03-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2021M04,2021-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,105.6,"Seasonally adjusted, working day adjusted, constant prices",2021M04,2021-04-01
47.64 sports shops,99.5,"Seasonally adjusted, working day adjusted, constant prices",2021M04,2021-04-01
47.71 clothing stores,88.8,"Seasonally adjusted, working day adjusted, constant prices",2021M04,2021-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",89.7,"Seasonally adjusted, working day adjusted, constant prices",2021M04,2021-04-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2021M05,2021-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,105.1,"Seasonally adjusted, working day adjusted, constant prices",2021M05,2021-05-01
47.64 sports shops,101.4,"Seasonally adjusted, working day adjusted, constant prices",2021M05,2021-05-01
47.71 clothing stores,92.7,"Seasonally adjusted, working day adjusted, constant prices",2021M05,2021-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",98.3,"Seasonally adjusted, working day adjusted, constant prices",2021M05,2021-05-01
47.11+47.2 retail sale with mostly food,,"Seasonally adjusted, working day adjusted, constant prices",2021M06,2021-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,101.9,"Seasonally adjusted, working day adjusted, constant prices",2021M06,2021-06-01
47.64 sports shops,100.2,"Seasonally adjusted, working day adjusted, constant prices",2021M06,2021-06-01
47.71 clothing stores,108.3,"Seasonally adjusted, working day adjusted, constant prices",2021M06,2021-06-01
